_id,PX,MAIN_STREET,MIDBLOCK_ROUTE,SIDE1_STREET,SIDE2_STREET,PRIVATE_ACCESS,ADDITIONAL_INFO,OBJECTID,GEO_ID,NODE_ID,MI_PRINX,geometry
60,5200,DAWES RD,None,PARK VISTA,None,None,None,2603,30106007,,2603,"{""coordinates"": [[-79.29705100555246, 43.698310998206864]], ""type"": ""MultiPoint""}"
61,5201,BERNER TRL,None,GRIFFEN DR,CHEATHAM PL,None,None,2604,104970,13443347,2604,"{""coordinates"": [[-79.22433399571287, 43.79976799610488]], ""type"": ""MultiPoint""}"
62,5202,BERRY RD,None,BALLACAINE DR,None,None,None,2605,7846174,,2605,"{""coordinates"": [[-79.49556300397597, 43.635700996612165]], ""type"": ""MultiPoint""}"
63,5203,BERRY RD,None,CLOVERHILL RD,None,None,None,2606,7985486,13468682,2606,"{""coordinates"": [[-79.49071900541405, 43.636740995889305]], ""type"": ""MultiPoint""}"
64,5204,BEVERLEY ST,None,PHOEBE ST,None,None,None,2607,14676277,13466610,2607,"{""coordinates"": [[-79.39266000150765, 43.65088699571342]], ""type"": ""MultiPoint""}"
65,5206,BEVERLEY ST,None,GRANGE AVE,None,None,None,2608,2842441,13466303,2608,"{""coordinates"": [[-79.39343700254256, 43.6527640017857]], ""type"": ""MultiPoint""}"
66,5207,BICKNELL AVE,None,AVON DR,None,KEELESDALE JR PUBLIC SCHOOL,None,2609,8519,13460608,2609,"{""coordinates"": [[-79.47623299930488, 43.687526997890785]], ""type"": ""MultiPoint""}"
67,5208,BIMBROK RD,None,GADSBY DR,None,None,None,2610,110878,13451917,2610,"{""coordinates"": [[-79.25293599493297, 43.73798499631411]], ""type"": ""MultiPoint""}"
68,5210,BIRCHMOUNT RD,None,HOLLIS AVE,None,None,None,2611,112881,13458644,2611,"{""coordinates"": [[-79.26316300239208, 43.69504900130308]], ""type"": ""MultiPoint""}"
69,5214,BIRMINGHAM ST,None,TWENTY FIRST ST,None,None,HUMBER COLLEGE ARTS & MEDIA,2612,914478,13470482,2612,"{""coordinates"": [[-79.5212620033149, 43.599960004334896]], ""type"": ""MultiPoint""}"
70,5216,BOND ST,75m NORTH OF,SHUTER ST,None,None,ST. MICHAEL'S CHOIR SCHOOL,2613,1144656,,2613,"{""coordinates"": [[-79.37786600557082, 43.65522600406545]], ""type"": ""MultiPoint""}"
71,5217,BOULTBEE AVE,None,BLAKE ST,None,None,BLAKE ST JR PUBLIC SCHOOL,2614,1141613,13462967,2614,"{""coordinates"": [[-79.33818700464653, 43.67244999570671]], ""type"": ""MultiPoint""}"
72,5220,BRIDLETOWNE CRCL,None,COLLINGSBROOK BLVD,None,None,None,2615,6291826,13444399,2615,"{""coordinates"": [[-79.31618699850726, 43.79229999978694]], ""type"": ""MultiPoint""}"
73,5227,BRIMORTON DR,70m EAST OF,NEAPOLITAN DR,None,None,ST ANDREWS PUBLIC SCHOOL,2616,108579,,2616,"{""coordinates"": [[-79.25446000026156, 43.76613099924272]], ""type"": ""MultiPoint""}"
74,5228,BRIMORTON DR,125m EAST OF,AMBERJACK BLVD,None,None,BELLEMERE JR PUBLIC SCHOOL,2617,108018,,2617,"{""coordinates"": [[-79.23462100264503, 43.771438996096386]], ""type"": ""MultiPoint""}"
75,5229,BRIMORTON DR,None,GAITWIN PL,None,None,CHURCHILL HEIGHTS PUBLIC SCHOOL,2618,107715,13446593,2618,"{""coordinates"": [[-79.22342600505452, 43.773382998063745]], ""type"": ""MultiPoint""}"
76,5230,BRIMWOOD BLVD,None,AMANDA DR,None,None,OUR LADY OF GRACE CATHOLIC SCHOOL,2619,103854,13442278,2619,"{""coordinates"": [[-79.27568899462639, 43.81290900265527]], ""type"": ""MultiPoint""}"
77,5231,BRIMWOOD BLVD,None,DELBURN DR,None,None,BRIMWOOD BLVD JR P.S.,2620,103922,13442308,2620,"{""coordinates"": [[-79.27353199529213, 43.812415997987884]], ""type"": ""MultiPoint""}"
78,5232,BROADVIEW AVE,70m NORTH OF,ALLEN AVE,None,None,None,2621,14230700,,2621,"{""coordinates"": [[-79.3518460001361, 43.663657002769334]], ""type"": ""MultiPoint""}"
79,5233,BROADVIEW AVE,None,KINTYRE AVE,None,None,None,2622,1143632,13464967,2622,"{""coordinates"": [[-79.35051900364934, 43.6604740031632]], ""type"": ""MultiPoint""}"
80,5235,BROADVIEW AVE,None,WITHROW AVE,None,None,None,2623,1142063,13463447,2623,"{""coordinates"": [[-79.35321499579604, 43.669706000121195]], ""type"": ""MultiPoint""}"
81,5236,BROADVIEW AVE,None,WOLFREY AVE,None,None,None,2624,1141262,13462704,2624,"{""coordinates"": [[-79.35708000121414, 43.674264002364296]], ""type"": ""MultiPoint""}"
82,5237,BROADWAY AVE,None,BRENTCLIFFE RD,RYKERT CRES,None,None,2625,7684278,13455352,2625,"{""coordinates"": [[-79.36235099545945, 43.71696900145129]], ""type"": ""MultiPoint""}"
83,5238,BROCK AVE,None,DELANEY CRES,None,None,McCORMICK ARENA & PARK,2626,30102521,13467418,2626,"{""coordinates"": [[-79.4343649974933, 43.64662900265417]], ""type"": ""MultiPoint""}"
84,5239,BROOKMILL BLVD,65m WEST OF,LA PEER BLVD,None,None,BROOKMILL BLVD JR PUBLIC SCHOOL,2627,30021421,,2627,"{""coordinates"": [[-79.3145230021258, 43.801801997930156]], ""type"": ""MultiPoint""}"
85,5240,BURROWS HALL BLVD,None,PURVIS CRES,None,None,BURROWS HALL JR PUBLIC SCHOOL,2628,105714,13444065,2628,"{""coordinates"": [[-79.22899599755473, 43.79370700444387]], ""type"": ""MultiPoint""}"
86,5241,CACTUS AVE,None,MOORE PARK AVE,None,None,PLEASANT AVE PUBLIC SCHOOL,2629,7157468,13444806,2629,"{""coordinates"": [[-79.43350399505083, 43.79063599834918]], ""type"": ""MultiPoint""}"
87,5242,CALEDONIA RD,None,BOWIE AVE,None,None,None,2630,7922,13459219,2630,"{""coordinates"": [[-79.4628100034636, 43.69494199953512]], ""type"": ""MultiPoint""}"
88,5243,CALEDONIA RD,None,CORBY AVE,None,None,None,2631,14072001,13461089,2631,"{""coordinates"": [[-79.45870299753527, 43.68465999905675]], ""type"": ""MultiPoint""}"
89,5244,CALEDONIA RD,None,NORMAN AVE,None,None,None,2632,14015440,13462333,2632,"{""coordinates"": [[-79.45579500089455, 43.677779001362794]], ""type"": ""MultiPoint""}"
90,5245,CALEDONIA RD,None,PLAYFAIR AVE,None,None,None,2633,9668739,13456989,2633,"{""coordinates"": [[-79.46581099906267, 43.70823699937011]], ""type"": ""MultiPoint""}"
91,5246,CALEDONIA RD,None,INNES AVE,None,None,HUGHES PUBLIC SCHOOL,2634,14015397,13461740,2634,"{""coordinates"": [[-79.4571650006515, 43.68103300335553]], ""type"": ""MultiPoint""}"
92,5247,CARLAW AVE,None,LANGLEY AVE,None,None,None,2635,8416824,13463405,2635,"{""coordinates"": [[-79.34363399617024, 43.66976599962105]], ""type"": ""MultiPoint""}"
93,5248,CARLAW AVE,None,STRATHCONA AVE,None,None,WITHROW PARK,2636,1141015,13462487,2636,"{""coordinates"": [[-79.34598200470548, 43.67534099830651]], ""type"": ""MultiPoint""}"
94,5249,CARLTON ST,20m WEST OF,BOWMAN ST,None,None,SPRUCECOURT JR PS,2637,20061848,13464223,2637,"{""coordinates"": [[-79.36383900526238, 43.665406996905126]], ""type"": ""MultiPoint""}"
95,5251,CASSANDRA BLVD,20m EAST OF,REDWILLOW DR,None,None,CASSANDRA PUBLIC SCHOOL,2638,30100005,13450548,2638,"{""coordinates"": [[-79.32928299658533, 43.747680996143906]], ""type"": ""MultiPoint""}"
96,5252,CEDAR DR,None,GATESVIEW AVE,None,None,None,2639,110373,13450452,2639,"{""coordinates"": [[-79.21683699662535, 43.74672300210124]], ""type"": ""MultiPoint""}"
97,5254,CELESTINE DR,None,MOFORD CRES,None,None,FELIX-LECLERC ELEMENTARY,2640,909014,13460324,2640,"{""coordinates"": [[-79.56097099564028, 43.69012200097827]], ""type"": ""MultiPoint""}"
98,5255,CENTENNIAL RD,None,D ARCY MAGEE CRES,None,None,ST BRENDAN CATHOLIC SCHOOL,2641,106787,13445207,2641,"{""coordinates"": [[-79.1490499980295, 43.78346400329618]], ""type"": ""MultiPoint""}"
99,5257,CHAPLIN CRES,220m WEST OF,SPADINA RD,None,None,FOREST HILL ARENA,2642,30069986,,2642,"{""coordinates"": [[-79.4210209991699, 43.70403099964778]], ""type"": ""MultiPoint""}"
