,datetime,Time,Vehicle,Gap,Headway,Schedule,Destination,day,day of the week,stop,stopID,Riders after stop,sch_adherence,bunched_or_gapped,mins delayed,bunched,gapped,morning_peak,midday,afternoon_peak,early_eve,late_eve,overnight,morning_peak_bunches,midday_bunches,afternoon_peak_bunches,early_eve_bunches,late_eve_bunches,morning_peak_gaps,midday_gaps,afternoon_peak_gaps,early_eve_gaps,late_eve_gaps,bound,bound_ordinal,_row_id,cond_sum,prev3hr_delays,prev_bunches
758306,2025-12-02 13:52:43,0 days 13:52:43,4432.0,0 days 00:11:24,10:00,1:07 ahead of 1:53:50PM,West to High Park,2025-12-02,1,Bowmore Rd,10003,,-1.1166666666666667,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,8.0,758306,0.0,0.0,0.0
758307,2025-12-02 13:53:00,0 days 13:53:00,4654.0,0 days 00:02:02,10:00,3:49 ahead of 1:56:49PM,West to High Park,2025-12-02,1,Parliament St,10427,,-3.816666666666667,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,28.0,758307,7.0,315.7166666666667,0.0
758308,2025-12-02 13:54:05,0 days 13:54:05,4432.0,0 days 00:11:20,10:00,1:39 ahead of 1:55:44PM,West to High Park,2025-12-02,1,Gerrard St East  at Coxwell Ave,8206,,-1.65,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,10.0,758308,1.0,22.0,0.0
758309,2025-12-02 13:54:24,0 days 13:54:24,4654.0,0 days 00:00:55,10:00,4:04 ahead of 1:58:28PM,West to High Park,2025-12-02,1,Parliament St at Carlton St,4615,,-4.066666666666666,-1,0.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,W,29.0,758309,12.0,497.15,0.0
758310,2025-12-02 13:55:38,0 days 13:55:38,4659.0,0 days 00:46:43,10:00,32:14 behind 1:23:24PM,West to High Park,2025-12-02,1,Havelock St,6811,,32.233333333333334,1,32.233333333333334,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,W,49.0,758310,0.0,0.0,0.0
758311,2025-12-02 13:56:27,0 days 13:56:27,4432.0,0 days 00:11:36,10:00,0:21 ahead of 1:56:48PM,West to High Park,2025-12-02,1,Coxwell Ave at Lower Gerrard St East,2615,,-0.35,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,11.0,758311,2.0,44.23333333333333,0.0
758312,2025-12-02 13:58:04,0 days 13:58:04,4608.0,0 days 00:08:37,10:00,3:54 ahead of 2:01:58PM,West to High Park,2025-12-02,1,St Matthews Rd,1447,,-3.9,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,24.0,758312,0.0,0.0,0.0
758313,2025-12-02 13:58:40,0 days 13:58:40,4432.0,0 days 00:13:03,8:21,0:40 behind 1:58:00PM,West to High Park,2025-12-02,1,Ashdale Ave,5884,,0.6666666666666666,0,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,12.0,758313,3.0,106.71666666666668,0.0
758314,2025-12-02 13:59:08,0 days 13:59:08,4608.0,0 days 00:08:36,10:00,4:27 ahead of 2:03:35PM,West to High Park,2025-12-02,1,River St,10648,,-4.45,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,25.0,758314,3.0,162.46666666666667,0.0
758315,2025-12-02 13:59:39,0 days 13:59:39,4432.0,0 days 00:12:39,8:21,0:50 behind 1:58:49PM,West to High Park,2025-12-02,1,Woodfield Rd,11337,,0.8333333333333334,0,0.8333333333333334,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,13.0,758315,4.0,165.13333333333333,0.0
